Date,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
21-Dec-22,28742.3,28958.15,28658.7,28764.2,19513337,2809.29
22-Dec-22,28973.35,29022.3,28629.85,28763.85,18230083,2562.02
23-Dec-22,28442.8,28603.6,28179.55,28237.05,18983179,2561.23
26-Dec-22,28268.25,28493.2,28209.95,28385.7,12383513,1684.7
27-Dec-22,28551.75,28685,28333.8,28636.25,12801922,1759.3
28-Dec-22,28495.75,28715.3,28346.25,28583.45,13439995,1864.17
29-Dec-22,28408.3,28724.75,28386.65,28687.2,16236239,2492.4
30-Dec-22,28887.8,29027,28564.75,28621.7,15530609,2311.16
02-Jan-23,28681.55,28777.6,28474.7,28737.3,10844942,1664
03-Jan-23,28713.7,29032.4,28636.4,28962.3,14214606,2153.96
04-Jan-23,28912.6,28925.45,28600.75,28677.8,17295433,2499.97
05-Jan-23,28803.05,28803.05,28386,28527.75,21294033,3008.3
06-Jan-23,28466.9,28507.15,27908.75,27956.45,18896187,2807.96
09-Jan-23,28134.05,28780,28134.05,28748.15,26261296,4017.1
10-Jan-23,28627.8,28661.7,28242.9,28502.7,19626467,3177.46
11-Jan-23,28550.65,28946,28460,28596.35,19386294,3056.13
12-Jan-23,28722.45,28832.6,28509.5,28720.3,21496558,3023.85
13-Jan-23,28717,29060.95,28292.3,28933.75,34569149,4881.69
16-Jan-23,29037.05,29327.9,28895.4,29264.65,30075046,3453.69
17-Jan-23,29291.15,29518.85,29259.1,29498,22519060,2829.38
18-Jan-23,29580.25,29715.8,29541.95,29617.8,25496947,3338.98
19-Jan-23,29487.5,29714.95,29396.05,29632.35,19683719,3352.66
20-Jan-23,29574.45,29783.8,29479.7,29529.65,24009016,4270.2
23-Jan-23,29620.25,30124.05,29505.5,30086,18270364,3603.16
24-Jan-23,30220.5,30499.75,30151.55,30316.9,23082949,4235.49
25-Jan-23,30208.1,30231.4,30004.75,30043.9,13976308,2256.13
27-Jan-23,30052.7,30234.35,29542.45,29766.45,19821522,3343.39
30-Jan-23,29842.7,30224.5,29606.35,30094.85,21244641,3498.55
31-Jan-23,30163.2,30172.75,29556.3,29740.35,29500685,4469.89
